! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
N2                  1      97.530     3.621     0.000     1.760     4.000    ! NOx2018
Ne                  0     148.600     3.758     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
tBA(1)              2     444.404     6.404     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=577.15 K, Pc=31.92 bar (from Joback method)
nBA(2)              2     437.931     6.327     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=568.74 K, Pc=32.62 bar (from Joback method)
iBA(3)              2     440.715     6.360     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=572.36 K, Pc=32.32 bar (from Joback method)
sBA(4)              2     440.715     6.360     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=572.36 K, Pc=32.32 bar (from Joback method)
C4H8-1(5)           2     357.002     5.176     0.000     0.000     1.000    ! GRI-Mech
C4H8-2(6)           2     359.053     5.289     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=466.30 K, Pc=45.78 bar (from Joback method)
iC4H8(7)            2     351.146     5.238     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=456.03 K, Pc=46.09 bar (from Joback method)
AcOH(8)             2     452.392     5.643     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=587.52 K, Pc=47.5 bar (from Joback method)
O2(9)               1     107.400     3.458     0.000     1.600     3.800    ! NOx2018
H(10)               0     145.000     2.050     0.000     0.000     0.000    ! NOx2018
HO2(11)             2     107.400     3.458     0.000     0.000     1.000    ! NOx2018
O(12)               0      80.000     2.750     0.000     0.000     0.000    ! NOx2018
OH(13)              1      80.000     2.750     0.000     0.000     0.000    ! NOx2018
H2(14)              1      38.000     2.920     0.000     0.790   280.000    ! NOx2018
H2O(15)             2     572.400     2.605     1.844     0.000     4.000    ! NOx2018
